Name,Total 3P Made,Total 3P Att,Total 3P%,Cold 3P Made,Cold 3P Att,Cold 3P%,Hot 3P Made,Hot 3P Att,Hot 3P%,Hot/Cold Diff,Hot Shot Makeup
zan tabak,0,0,0,0,0,0,0,0,0,0,0
jordan williams,0,0,0,0,0,0,0,0,0,0,0
pj hairston,59.5,202,29.455445544554454,54,182.5,29.589041095890412,5.5,19.5,28.205128205128204,-1.3839128907622076,9.653465346534654
joe young,7.5,34.5,21.73913043478261,7.5,33,22.727272727272727,0,1.5,0,-22.727272727272727,4.3478260869565215
horace grant,0,0.7692307692307693,0,0,0.7692307692307693,0,0,0,0,0,-1
mike james,57.25,151.08333333333334,37.89299503585218,52.333333333333336,138.08333333333334,37.89981894990947,4.916666666666667,13,37.820512820512825,-0.07930612939664883,8.604522890237174
adam morrison,41.333333333333336,125,33.06666666666666,39,117.66666666666667,33.14447592067988,2.3333333333333335,7.333333333333333,31.818181818181824,-1.326294102498057,5.866666666666666
mickael gelabale,14.333333333333334,45.333333333333336,31.61764705882353,14.333333333333334,44.333333333333336,32.33082706766917,0,1,0,-32.33082706766917,2.205882352941176
nick calathes,15,52,28.846153846153843,14.5,51,28.431372549019606,0.5,1,50,21.568627450980394,1.9230769230769231
tim legler,2.3333333333333335,6.222222222222222,37.5,2.111111111111111,5.555555555555555,38,0.2222222222222222,0.6666666666666666,33.33333333333333,-4.666666666666671,10.714285714285714
anthony goldwire,9.2,26.6,34.58646616541353,8.2,24.8,33.064516129032256,1,1.8,55.55555555555556,22.4910394265233,6.7669172932330826
taurean green,2,11,18.181818181818183,2,11,18.181818181818183,0,0,0,-18.181818181818183,-1
kemba walker,132,376.1666666666667,35.090828533451486,118,334.8333333333333,35.241413638626184,14,41.333333333333336,33.87096774193548,-1.370445896690704,10.988037217545415
kent bazemore,60.4,173,34.91329479768786,55.2,160.2,34.45692883895132,5.2,12.8,40.625,6.16807116104868,7.398843930635839
drew gordon,0,3,0,0,3,0,0,0,0,0,-1
deron williams,98.16666666666667,274.6666666666667,35.74029126213592,88.5,246.33333333333334,35.926928281461436,9.666666666666666,28.333333333333332,34.11764705882353,-1.8092812226379067,10.315533980582522
aaron brooks,89.88888888888889,243,36.991312299954274,80.77777777777777,218.88888888888889,36.90355329949238,9.11111111111111,24.11111111111111,37.78801843317972,0.8844651336873426,9.922267946959305
brandon knight,104.16666666666667,292,35.67351598173516,93.16666666666667,264.6666666666667,35.20151133501259,11,27.333333333333332,40.243902439024396,5.042391104011806,9.360730593607306
nolan smith,9.5,36.5,26.027397260273972,9,35.5,25.352112676056336,0.5,1,50,24.647887323943664,2.73972602739726
jamal sampson,0,0.2,0,0,0.2,0,0,0,0,0,-1
jason williams,103.16666666666667,315.3333333333333,32.71670190274842,89.66666666666667,274.0833333333333,32.715110975980544,13.5,41.25,32.72727272727273,0.012161751292182998,13.08139534883721
eric moreland,0,0,0,0,0,0,0,0,0,0,0
timothe luwawu-cabarrot,50,161,31.05590062111801,47,149,31.543624161073826,3,12,25,-6.543624161073826,7.453416149068323
courtney lee,80.66666666666667,208.77777777777777,38.63757317722193,76.66666666666667,196.44444444444446,39.02714932126697,4,12.333333333333334,32.43243243243243,-6.59471688883454,5.907397551889304
kevin pritchard,0,0,0,0,0,0,0,0,0,0,0
demetrius jackson,1,1,100,1,1,100,0,0,0,-100,-1
kevin edwards,0.8333333333333334,3.1666666666666665,26.315789473684216,0.6666666666666666,3,22.22222222222222,0.16666666666666666,0.16666666666666666,100,77.77777777777777,5.263157894736842
arron afflalo,82.5,213.5,38.64168618266979,75.7,195.1,38.80061506919529,6.8,18.4,36.95652173913044,-1.844093330064851,8.618266978922716
reggie slater,0,0,0,0,0,0,0,0,0,0,0
devin brown,37.5,111,33.78378378378378,34.75,102.25,33.98533007334964,2.75,8.75,31.428571428571427,-2.55675864477821,7.882882882882883
alando tucker,3.3333333333333335,11.333333333333334,29.411764705882355,3.3333333333333335,11.333333333333334,29.411764705882355,0,0,0,-29.411764705882355,-1
chris mullin,45.666666666666664,106.33333333333333,42.94670846394985,41.333333333333336,95.66666666666667,43.20557491289199,4.333333333333333,10.666666666666666,40.625,-2.58057491289199,10.031347962382444
jud buechler,13.2,36.8,35.869565217391305,12.2,33.8,36.09467455621302,1,3,33.33333333333333,-2.761341222879693,8.152173913043478
gal mekel,2.5,11.5,21.73913043478261,2.5,11.5,21.73913043478261,0,0,0,-21.73913043478261,-1
ruben garces,0,0,0,0,0,0,0,0,0,0,0
perry jones iii,12,41,29.268292682926827,12,39,30.76923076923077,0,2,0,-30.76923076923077,4.878048780487805
charlie villanueva,65.0909090909091,191,34.07900999524036,56.81818181818182,166.54545454545453,34.115720524017476,8.272727272727273,24.454545454545453,33.82899628252788,-0.2867242414895941,12.803426939552592
byron mullens,22.2,69.6,31.896551724137932,19.8,60.8,32.56578947368421,2.4,8.8,27.27272727272727,-5.293062200956943,12.643678160919542
semih erden,0,0,0,0,0,0,0,0,0,0,0
dwight buycks,6,14,42.857142857142854,5.5,13,42.30769230769231,0.5,1,50,7.692307692307693,7.142857142857142
georges niang,1,12,8.333333333333332,1,12,8.333333333333332,0,0,0,-8.333333333333332,-1
tim thomas,75,203.16666666666666,36.915504511894994,67.66666666666667,182.83333333333334,37.010027347310846,7.333333333333333,20.333333333333332,36.0655737704918,-0.9444535768190434,10.008203445447087
aleksandar radojevic,0,0,0,0,0,0,0,0,0,0,0
jeff grayer,0,0,0,0,0,0,0,0,0,0,0
dorian finney-smith,56,191,29.31937172774869,54,182,29.67032967032967,2,9,22.22222222222222,-7.44810744810745,4.712041884816754
michael jordan,13,54,24.074074074074073,12.5,51.5,24.271844660194176,0.5,2.5,20,-4.271844660194176,4.62962962962963
kawhi leonard,86.33333333333333,222.5,38.80149812734082,79.5,204.66666666666666,38.843648208469055,6.833333333333333,17.833333333333332,38.31775700934579,-0.5258911991232651,8.014981273408239
cleanthony early,13,49.5,26.262626262626267,12.5,47,26.595744680851062,0.5,2.5,20,-6.5957446808510625,5.05050505050505
stanley roberts,0,0.5,0,0,0.5,0,0,0,0,0,-1
